ac|en|fi|pt|ru|zh|ja|ko|de
w_melee_gurags_stone_crusher|Gurag's Stone Crusher|Guragin kivimurskain|Esmagador de Pedras de Gurag|Палица Гурага|古拉格的碎石机|グーラグのストーン・クラッシャー|구라그의 스톤 크러셔|Gurags Steinzermalmer
w_melee_deaths_scythe|Death's Scythe|Kuoleman viikate|Foice da Morte|Коса Смерти|死神的镰刀|死の大鎌|죽음의 낫|Todessense
w_melee_hiyokis_vorpal_katana|Hiyoki's Vorpal Katana|Hiyokin sähkökatana|Katana Vorpal de Hiyoki|Вострая Катана Хиёки|希约基的刺穿武士刀|ヒヨキの首切りカタナ|히요키의 보팔 카타나|Hiyokis Tödliches Katana
w_melee_hanzos_flaming_katana|Hanzo's Flaming Katana|Hanzon liekkikatana|Katana Flamejante de Hanzo|Пылающая Катана Хандзо|汉佐的火焰武士刀|ハンゾーの炎のカタナ|한조의 불타는 카타나|Hanzos Flammendes Katana
w_melee_genjis_sword_of_fate|Genji's Sword of Fate|Genjin kohtalon miekka|Espada do Destino de Genji|Меч Судьбы Гэндзи|根吉的命运之剑|ゲンジの運命の剣|겐지의 운명의 검|Genjis Schicksalsschwert
w_melee_wind_guardians_gladius|Wind Guardian's Gladius|Tuulenvartijan Gladius|Gládio do Guardião do Vento|Меч Стража Ветра|风守护者的短剑|風の番人のグラディウス|바람 수호자의 글라디우스|Gladius des Windwächters
w_melee_sand_crusaders_scimitar|Sand Crusader's Scimitar|Hiekkaristiretkeilijän Sapeli|Cimitarra do Cruzador da Areia|Меч Воина Песков|沙漠十字军的弯刀|サンド・クルセーダーのシミター|모래 수호자의 글라디우스|Krummsäbel des Kreuzritters der Sande
w_melee_azurewrath|Azure’s Wrath|||||||
w_melee_holy_warriors_phase_blade|Holy Warrior's Phase Blade|Pyhän Soturin Valomiekka|Lâmina de Fase do Guerreiro Sagrado|Фазовый Клинок Воина Света|圣战士的幻化之刃|聖なる戦士の位相の刃|신성한 전사의 페이즈 블레이드|Phasenklinge des Heiligen Kriegers
w_melee_steves_mighty_sword|Steve's Mighty Sword|Teemun mahtimiekka|Espada Poderosa de Steve|Огромный меч Стива|史蒂夫的威剑|スティーブの偉大な剣|스티브의 신성한 검|Steves Mächtiges Schwert
w_melee_st_gabriels_retribution|St. Gabriel's Retribution|Pyhän Gabrielin rangaistus|Castigo de São Gabriel|Карающий меч Св. Габлиэля|圣加布里埃尔的报应|聖ガブリエルの報復|성 가브리엘의 보복|St. Gabriels Strafe
w_melee_thors_battle_sword|Thor's Battle Sword|Odinin sotakirves|Espada de Batalha de Odin|Боевой меч Одина|奥丁的战斗剑|オーディンのバトル・ソード|오딘의 전투 검|Odins Kriegsschwert
w_melee_vikings_sacred_axe|Viking's Sacred Axe|Viikingin pyhä kirves|Machado sagrado do Viking|Священный топор Викинга|维京人的圣斧|バイキングの神聖な斧|바이킹의 신성한 도끼|Heilige Wikingeraxt
w_melee_nomads_sandslicer|Nomad's Sandslicer|Vaeltajan hiekkapeitsi|Fatiador de Areia do Nômade|Клинок Кочевника|流浪者的沙切割机|ノマドのサンドスライサー|노마드의 샌드슬라이서|Sandschneider des Nomaden
w_melee_nobunagas_battle_slicer|Nobunaga's Battle Slicer|Nobunagan Taisteluleikkuri|Fatiador de Batalha de Nobunaga|Клинок Нобунага|织田信长的战斗切片机|信長のバトルスライサー|노부나가의 배틀 슬라이서|Kampfschneider des Nobunaga
w_melee_molten_dagger|Molten Dagger|Sula Tikari|Adaga Fundida|Расплавленный Кинжал|熔化的匕首|モルテンダガー|녹은 단검|Geschmolzener Dolch
w_melee_icy_shank|Icy Shank|Jäinen pistäjä|Haste Gelada|Ледяной Укус|冰冷的柄|アイシーシャンク|아이시 생크|Eisiges Bein
w_melee_darkness|Darkness|Pimeys|Escuridão|Тьма|黑暗|ダークネス|어둠|Dunkelheit
w_melee_gladiators_wrecking_ball|Gladiator's Wrecking Ball|Gladiaattorin Purkukuula|Bola de Demolição do Gladiador|Шаровой Таран Гладиатора|角斗士的破碎球|グラディエーターのレッキングボール|글라디에이터의 파괴용 공|Abrissbirne des Gladiators
w_melee_dantes_demon_blade|Dante’s Demon Blade|||||||
w_melee_shadow_carver|Shadow Carver|Varjoleikkaaja|Entalhador das Sombras|Жнец Теней|影子卡佛|シャドウカーバー|그림자 조각가|Schattenschneider
w_melee_sacred_whip|Sacred Whip|Siunattu Ruoska|Chicote Sagrado|Священный хлыст|神圣的鞭子|聖なる鞭|신성한 채찍|Heilige Peitsche
w_melee_nightmare_slasher|Nightmare Slasher|Painajaisviiltäjä|Fatiadora de Pesadelo|Цеп Ужаса|噩梦杀人狂|ナイトメアスラッシャー|악몽 슬래셔|Alptraummesserstecher
w_melee_frozen_carver|Frozen Carver|Jäinenleikkaaja|Entalhador Congelado|Цеп Леденящего Ужаса|冻结卡佛|フローズンカーバー|냉동 조각가|Gefrorener Schlitzer
w_melee_unholy_gods_flail|Unholy God's Flail|Epäpyhän Jumalan Varsta|Mangual do Deus Profano|Цеп Нечестивого Божества|邪恶的神的连枷|不浄な神のフレイル|부정한 신의 도리깨|Flegel des unheiligen Gottes
w_melee_molten_hammer|Molten Hammer|Sula Vasara|Martelo Fundido|Расплавленный Молот|熔融锤|モルテンハンマー|녹은 망치|Geschmolzener Hammer
w_melee_icy_crusher|Icy Crusher|Jäämurskain|Triturador Gelado|Ледокол|冰冷的破碎机|アイシークラッシャー|아이시 크러셔|Eisiger Zerstörer
w_melee_light_of_dawn|The Light of Dawn|Aamunkajo|A Luz do Amanhecer|Заря|黎明的曙光|夜明けの光|새벽의 빛|Licht des Sonnenaufgangs
w_melee_gladiators_skullcrusher|Gladiator's Skullcrusher|Gladiaattorin Kallonmurskain|Esmagador de Caveiras do Gladiador|Крушитель Черепов Гладиатора|角斗士的碎颅机|グラディエーターのスカルクラッシャー|글라디에이터의 스컬크러셔|Schädelzerstörer des Gladiators
w_melee_masamune|Masamune|Masamune|Masamune|Масамунэ|正宗|政宗|마사무네|Masamune
w_melee_muramasa|Muramasa|Muramasa|Muramasa|Мурамаса|村正|村正|무라마사|Muramasa
w_melee_crystal_infused_axe|Crystal Infused Axe|Kristalliin upotettu kirves|Machado de Cristal|Кристаллический Топор|水晶斧|クリスタル注入斧|수정이 주입 된 도끼|Kristall-infundierte Axt
w_melee_crystal_infused_sword|Crystal Infused Sword|Kristalliin upotettu miekka|Espada de Cristal Infundida|Кристаллический Меч|水晶剑|クリスタルインフューズドソード|수정이 주입 된 검|Kristallgetränktes Schwert
w_melee_sung_lees_destroyer_flail|Sung Lee's Destroyer Flail|Sung Leen tuhoaja Flail|Mangual do Destroyer de Sung Lee|Цеп Разрушения Сон Ли|李成的毁灭者连il|ソンリーの駆逐艦フレイル|이성 파괴자 Flail|Sung Lees Zerstörer-Dreschflegel
w_melee_revenants_lasher|Revenant's Lasher|Revenant's Lasher|Revenant's Lasher|Плеть Ревенанта|Revenant's Lasher|Revenant's Lasher|Revenant's Lasher|Revenant's Lasher
w_melee_bonettis_rapier|Bonetti's Rapier|Bonetti's Rapier|O Rapier de Bonetti|Bonetti's Rapier|博内蒂的长剑|ボネッティのレイピア|Bonetti's Rapier|Bonettis Rapier
w_melee_eternal_glaive|Eternal Glaive|Eternal Glaive|Eternal Glaive|Eternal Glaive|永恒之刃|エターナル・グレイブ|Eternal Glaive|Ewige Klinge
w_melee_guts_bfs|Gut's BFS|Gut's BFS|BFS do intestino|Gut's BFS|古特的BFS|ガットのBFS|Gut's BFS|Gut's BFS
w_melee_st_rexis_sundering_axe|St. Rexis Sundering Axe|St. Rexis Sundering Axe|St. Rexis Sundering Axe|St. Rexis Sundering Axe|St.Rexis Sundering Axe|St.レクシス・サンダリング・アックス|St. Rexis Sundering Axe|St. Rexis Brechbeil
w_melee_sand_dagger|Sand Dagger|Hiekkatikari|Punhal de Areia|Sand Dagger|沙匕首|サンドダガー|Sand Dagger|Sanddolch
w_melee_thunder_dagger|Thunder Dagger|Thunder Dagger|Punhal de trovão|Thunder Dagger|雷霆匕首|サンダーダガー|Thunder Dagger|Donnerdolch
w_melee_riftmasters_dirge|Riftmaster's Dirge|Riftmaster's Dirge|Riftmaster's Dirge|Riftmaster's Dirge|裂缝大师的哀歌|Riftmaster's Dirge|Riftmaster's Dirge|Spaltmeisters Dirge
w_melee_st_mikas_zweihander|St. Mika's Zweihänder|St. Mika's Zweihänder|St. Mika's Zweihänder|St. Mika's Zweihänder|St. Mika's Zweihänder|St. Mika's Zweihänder|St. Mika's Zweihänder|St. Mika's Zweihänder
w_melee_sanguine_blade|Sanguine Blade|Sanguine Blade|Sanguine Blade|Sanguine Blade|Sanguine Blade|Sanguine Blade|Sanguine Blade|Sanguine Blade
w_melee_pillar_of_niflheim|Pillar of Niflheim|Pillar of Niflheim|Pillar of Niflheim|Pillar of Niflheim|Pillar of Niflheim|Pillar of Niflheim|Pillar of Niflheim|Pillar of Niflheim
w_melee_grimbones_scythe|Grimbone's Scythe|Grimbone's Scythe|Grimbone's Scythe|Grimbone's Scythe|Grimbone's Scythe|Grimbone's Scythe|Grimbone's Scythe|Grimbone's Scythe
w_melee_ceremonial_dagger|Ceremonial Dagger|Seremoniallinen Tikari|Adaga Cerimonial|Ритуальный Кинжал|仪式剑|儀式のダガー|의식 단검|Zeremoniendolch
||||||||
[weapon_throwing]||||||||
normal_throwing_throwing_axe|Throwing Axe|||||||
normal_throwing_battle_darts|Battle Darts|||||||
normal_throwing_throwing_disc|Throwing Disc|||||||
normal_throwing_harpoon|Harpoon|Harppuuna|Arpão|Гарпун|鱼叉|ハープーン|작살|Harpune
normal_throwing_javelin|Javelin|Keihäs|Dardo|Метательное копье|标枪|ジャベリン|투창|Speer
normal_throwing_pilum|Pilum|||||||
normal_throwing_simbilan|Simbilan|||||||
normal_throwing_short_spear|Short Spear|||||||
normal_throwing_throwing_spear|Throwing Spear|||||||
||||||||
[weapon_throwing_unique]||||||||
w_throwing_mimirs_corrupted_axe|Mimir's Corrupted Axe|Mimir's Corrupted Axe|Mimir's Corrupted Axe|Mimir's Corrupted Axe|Mimir's Corrupted Axe|Mimir's Corrupted Axe|Mimir's Corrupted Axe|Mimir's Corrupted Axe
w_throwing_scarred_battle_darts|Scarred Battle Darts|Arpiset Taistelutikat|Dardos de Batalha Marcados|Ржавые метательные ножи|伤痕累累战斗飞镖|傷のあるバトルダーツ|상처난 전투 다트|Vernarbte Kampfdarts
w_throwing_wakaykas_tomahawk|Wakayka's Tomahawk|Wakaykan tomahawk|Tomahawk de Wakayka|Томагавк Вакайки|瓦卡卡的战斧|ワカイカのトマホーク|와카카의 토마호크|Wakaykas Tomahawk
w_throwing_imperial_glaive|Imperial Glaive|Keisarillinen Pertuska|Glaive Imperial|Имперская Глефа|帝国宽刃剑|帝国のグレイブ|제국의 검|Kaiserliche Gleve
w_throwing_ukkos_revenge|Ukko's Revenge|Ukko Ylijumalan Kosto||||||
w_throwing_wargods_wrath|Wargod's Wrath|Sotajumalan Raivo|Fúria do Deus da Guerra|Гнев Бога Войны|战争之神之怒|戦神の天罰|전쟁의 신의 분노|Zorn des Kriegsgottes
w_throwing_st_neris_rainbow_lance|St. Neri's Rainbow Lance|Pyhän Nerin Sateenkaaripeitsi|Lança Arco-Íris de São Neri|Радужное Копье св. Neri|圣奈瑞的彩虹长矛|聖ネリの虹の槍|성. 네리 레인보우 랜스|St. Neris Regenbogenlanze
w_throwing_serpents_tooth|Serpent's Tooth|Käärmeenhammas|Dente da Serpente|Змеиный Зуб|蛇的牙齿|サーペントトゥース|뱀의 이빨|Schlangenzahn
w_throwing_crystal_infused_javelin|Crystal Infused Javelin|Kristalliin infusoitu peitsi|Dardo com infusão de cristal|Кристаллический Джавелин|水晶标枪|クリスタル注入ジャベリン|수정이 주입 된 자벨린|Kristallgetränkter Speer
w_throwing_valkyries_thunder_javelin|Valkyrie's Thunder Javelin|||||||
w_throwing_deep_sea_glaive|Deep Sea Glaive|Deep Sea Glaive|Glaive Deep Sea|Deep Sea Glaive|深海飞刀|Deep Sea Glaive|Deep Sea Glaive|Tiefseeglaeser
||||||||
[weapon_spell]||||||||
normal_spell_gnarled_staff|Gnarled Staff|Tyvitautinen henkilökunta|Pessoal da Gnarled|Gnarled Staff|虬枝杖|グナールスタッフ|Gnarled Staff|Knorriger Stab
normal_spell_cane|Cane|||||||
normal_spell_arcane_fork|Arcane Fork|||||||
normal_spell_spellblade|Spellblade|Loitsumiekka|Lâmina de Feitiço|Магический клинок|咒语片|スペルブレード|스펠블레이드|Fluchklinge
normal_spell_wand|Wand|||||||
normal_spell_magic_tome|Magic Tome|||||||
normal_spell_yew_wand|Yew Wand|||||||
||||||||
[weapon_spell_unique]||||||||
w_spell_spellshard|Spellshard|Loitsusirpale|Fragmento de Feitiço|Зачарованный Осколок|符咒碎片|スペルシャード|마법서|Zauberscherbe
w_spell_the_iris|The Iris|Iiris|A Íris|Ирис|彩虹女神|虹彩|아이리스|Die Iris
w_spell_staff_of_nether_flame|Staff of Nether Flame|Manalanliekin Sauva|Bastão da Chama Inferior|Посох Адского Пламени|阴间火焰杖|ネザーフレームの杖|황천의 지팡이|Stab der Netherflamme
w_spell_archangel_staff|Archangel Staff|Arkkienkelisauva|Bastão do Arcanjo|Посох Архангела|大天使杖|大天使の杖|아치 천사의 스태프|Stab des Erzengels
w_spell_the_oculus|Oculus of Ages|||||||
w_spell_gods_benevolence|God’s Benevolence|God’s Benevolence|God’s Benevolence|God’s Benevolence|God’s Benevolence|God’s Benevolence|God’s Benevolence|God’s Benevolence
w_spell_satans_unholy_bible|Satan's Unholy Bible|Saatanan Epäpyhä Raamattu|Bíblia Profana de Satã|Чёрная Библия Сатаны|撒旦邪恶的圣经|サタンの悪書|사탄의 불신성한 성경|Satans unheilige Bibel
w_spell_book_of_revelations|Book of Revelations|Ilmestyskirja|Livro das Revelações|Книга Откровения|启示录|黙示録|계시록|Buch der Enthüllungen
w_spell_damiens_head|Damien's Head|Damienin pää|Cabeça de Damien|Голова Дэмиена|达米恩的头颅|デイミアンの頭|데미안의 머리|Damiens Kopf
w_spell_clafaxier|Clafaxier|Clafaxier|Clafaxier|Клафаксир|克拉法西耶|クラファクシア|클라팩시어|Clafaxier
w_spell_raise_of_dead|Raise of the Dead|Kuolleiden herättäjä|Levante dos Mortos|Восстание Мертвецов|死神复活|死者の復活|죽은자의 소생|Auferstehung der Toten
w_spell_dragons_breath|Dragon's Breath|Lohikäärmeen henkäys|Bafo do Dragão|Дыхание Дракона|龙的呼吸|竜の吐息|용의 숨결|Drachenatem
w_spell_apocalypto|Apocalypto|Maailmanlopettaja|Apocalypto|Апокалипсис|天启|アポカリプト|아포칼립토|Apocalypto
w_spell_steves_wand_of_fortune|Steve's Wand of Fortune|Teemun onnen taikasauva|Varinha da Sorte de Steve|Жезл Удачи Стива|史蒂夫的财富魔杖|スティーブの運の杖|스티브의 행운의 완드|Steves Glücksstab
w_spell_st_houdeaniis_tiny_fire_rod|St. HouDeanii's Tiny Fire Rod|Pyhän HouDeaniin pieni tulitikku|Varinha de Fogo de Santa HouDeanii|Маленький Огненный Жезл св. HouDeanii|圣窦迪恩利的小火棒|聖フーディーニの小さな火の杖|성 후디니의 작은 파이어 로드|St. HouDeaniis winziger Feuerstab
w_spell_wormclaw|Wormclaw|Madonkynsi|Garra de Minhoca|Жало|蠕虫爪|ワームクロー|웜클로|Wurmklaue
w_spell_beacon_of_shadows|Beacon of Shadows|Varjojen Johdatin|Faro de Sombras|Проводник в Мир Теней|阴影的灯塔|影のビーコン|그림자의 비컨|Leuchtfeuer Des Schattens
w_spell_crystal_infused_wand|Crystal Infused Wand|Kristalliin infusoitu sauva|Varinha Infundida de Cristal|Кристаллический Жезл|水晶魔杖|クリスタル注入ワンド|수정이 주입 된 마법봉|Kristall infundierter Zauberstab
w_spell_zealots_book_of_prophecy|Zealot's Book of Prophecy|Kiihkoilijan Ennustusten Kirja|Livro de Profecias de Zelote|Книга Пророчеств Фанатика|狂热者的预言书|ジーロットの予言の本|질롯의 프로 페시 책|Zealots Buch der Propechie
w_spell_uabels_wand|Uabel's Wand|Uabelin sauva|Varinha de Condão Uabel|Uabel's Wand|乌伯尔的魔杖|ウアベルの杖|Uabel's Wand|Uabels Zauberstab
w_spell_battle_mages_wand|Battle Mage's Wand|Taistelumaagin sauva|Varinha de condão de feiticeiro|Battle Mage's Wand|战斗法师的魔杖|バトルメイジのワンド|Battle Mage's Wand|Zauberstab des Kampfmagiers
w_spell_spell_eater|Spell Eater|Loitsunsyöjä|Comedor de Feitiços|Spell Eater|噬魂者|スペルイーター|Spell Eater|Zauberfresser
w_spell_blood_of_abaddon|Blood of Abaddon|Blood of Abaddon|Blood of Abaddon|Blood of Abaddon|Blood of Abaddon|Blood of Abaddon|Blood of Abaddon|Blood of Abaddon
w_spell_ancient_sun_beacon|Ancient Sun Beacon|Ancient Sun Beacon|Ancient Sun Beacon|Ancient Sun Beacon|Ancient Sun Beacon|Ancient Sun Beacon|Ancient Sun Beacon|Ancient Sun Beacon
w_spell_the_eye_of_tarethiel|The Eye of Tarethiel|The Eye of Tarethiel|The Eye of Tarethiel|The Eye of Tarethiel|The Eye of Tarethiel|The Eye of Tarethiel|The Eye of Tarethiel|The Eye of Tarethiel
w_spell_sands_of_time|Sands of Time|Sands of Time|Sands of Time|Sands of Time|Sands of Time|Sands of Time|Sands of Time|Sands of Time
w_spell_crystal_cane_of_ice|Crystal Cane of Ice|Crystal Cane of Ice|Crystal Cane of Ice|Crystal Cane of Ice|Crystal Cane of Ice|Crystal Cane of Ice|Crystal Cane of Ice|Crystal Cane of Ice
w_spell_cane_of_tundra|Cane of the Tundra|Cane of the Tundra|Cane of the Tundra|Cane of the Tundra|Cane of the Tundra|Cane of the Tundra|Cane of the Tundra|Cane of the Tundra
w_spell_book_of_cold_death|Book of Cold Death|Book of Cold Death|Book of Cold Death|Book of Cold Death|Book of Cold Death|Book of Cold Death|Book of Cold Death|Book of Cold Death
w_spell_thorn_of_helheim|Thorn of Helheim|Thorn of Helheim|Thorn of Helheim|Thorn of Helheim|Thorn of Helheim|Thorn of Helheim|Thorn of Helheim|Thorn of Helheim
w_spell_flame_of_phoenix|Flame of the Phoenix|||||||
||||||||
[weapon_bow]||||||||
normal_bow_crossbow|Crossbow|Varsijousi|Besta|Арбалет|弩|クロスボウ|석궁|Armbrust
normal_bow_short_war_bow|Short War Bow|Lyhyt Sotajousi|Arco de Guerra Curto|Короткий боевой лук|战争短弓|ショートウォーボウ|짧은 전쟁 활|Kurzer Kriegsbogen
normal_bow_long_bow|Long Bow|Pitkäjousi|Arco Longo|Длинный лук|长弓|ロングボウ|긴 활|Langer Bogen
normal_bow_gothic_bow|Gothic Bow|Goottilainen keula|Arco gótico|Gothic Bow|哥特式蝴蝶结|ゴシック・ボウ|Gothic Bow|Gotischer Bogen
||||||||
[weapon_bow_unique]||||||||
w_bow_buriza|Buriza-ko-nu|||||||
w_bow_windforce|Wind’s Force|||||||
w_bow_poison_ivy|Poison Ivy|Myrkkymuratti|Hera Venenosa|Ядовитый Плющ|有毒常春藤|ポイズン・アイビー|독극물 아이비|Giftefeu
w_bow_glimmerfury|Glimmerfury|Kiiltoraivo|Glimmerfury|Слепая Ярость|微光之怒|グリマーフューリー|희미한 분노|Glimmerwut
w_bow_flamebringer|Flamebringer|Tulentuoja|Portador da Chama|Вестник Пламени|火焰使者|フレームブリンガー|화염을 가져오는 자|Flammenbringer
w_bow_steves_punchbow|Steve's Punchbow|Teemun nyrkkijousi|Bacia de Ponche de Steve|Ударный Лук Стива|史蒂夫的冲锋弓|スティーブのパンチボウ|스티브의 펀치 보우|Steves Schlagbogen
w_bow_st_soloyolos_holy_bow|St. Soloyolo's Holy Bow|Pyhän Soloyolon jousi|Arco Sagrado de São Soloyolo|Священный лук св. Soloyolo|圣索洛约洛的圣弓|聖ソロヨロの聖なる弓|성. 솔로요로 홀리 보우|St. Soloyolos heiliger Bogen
w_bow_marksmans_hunting_bow|Marksman's Hunting Bow|Jousimiehen metsästysjousi|Arco de Caça do Atirador|Охотничий Лук Стрелка|射手的狩猎弓|マークスマンのハンティングボウ|명사수의 사냥용 활|Jagdbogen des Marksman
w_bow_shadowfury|Shadowfury|Varjoraivo|Fúria das Sombras|Ярость Тьмы|暗影狂怒|シャドウフューリー|섀도우퓨리|Schattenwut
w_bow_electro|Electro|Elektro|Electro|Электро|电的|エレクトロ|전기|Electro
w_bow_hellspawn_eradicator|Hellspawn Eradicator|Hellspawn Eradicator|Erradicador do Inferno|Hellspawn Eradicator|地狱魔王歼灭者|Hellspawn Eradicator|Hellspawn Eradicator|Höllenbrut-Eradikator
w_bow_deathquill|Deathquill|Deathquill|Deathquill|Deathquill|丧钟|デスキール|Deathquill|Deathquill
||||||||
[weapon_claw]||||||||
normal_claw_wrist_blades|Wrist Blades|Ranteen terät|Lâminas de Pulso|Wrist Blades|腕部刀片|リストブレイド|Wrist Blades|Handgelenkklingen
normal_claw_blade_talons|Blade Talons|Teräkynnet|Garras de Lâmina|Стальные когти|刀片爪|刃の鉤爪|블레이드 힐|Klingenkrallen
normal_claw_feral_claws|Feral Claws|Luonnonvaraiset kynnet|Garras Fulgares|Feral Claws|野性的爪子|Feral Claws|Feral Claws|Wilde Krallen
||||||||
[weapon_claw_unique]||||||||
w_claw_storm_fury|Storm Fury|Rajumyrsky|Fúria da Tempestade|Ярость Бури|风暴愤怒|嵐の憤激|스톰 퓨리|Sturmwut
w_claw_molten_paw|Molten Paw|Sulatassu|Pata Derretida|Расплавленные Когти|炽热爪|溶岩の掌|녹은 발|Geschmolzene Pranke
w_claw_hemorrhage|Hemorrhage|Verenvuoto|Hemorragia|Кровопускатель|出血爪|流血|출혈|Blutung
w_claw_yoshis_throat_cutters|Yoshi's Thrroat-Cutters|||||||
w_claw_elemental_claws|Elemental Claws|Elementaalikynnet|Garras Elementares|Элементальные Когти|元素的爪子|エレメンタルクロー|정령의 발톱|Elementäre Klauen
w_claw_talons_of_wisdom|Talons of Wisdom|Viisauden Kynnet|Garras da Sabedoria|Когти Мудрости|智慧之爪|知恵のタロン|지혜의 발톱|Krallen der Weisheit
w_claw_earth_shapers_talons|Earth Shaper's Talons|Maanmuokkaajan Kynnet|Garras do formador da terra|Когти Творца|造地者的利爪|アースシェイパーのタロン|지구 형성 자의 발톱|Krallen des Erdformers
w_claw_spirit_walkers_guides|Spirit Walker's Guides|Spirit Walker's Guides|Spirit Walker's Guides|Spirit Walker's Guides|Spirit Walker's Guides|Spirit Walker's Guides|Spirit Walker's Guides|Spirit Walker's Guides
||||||||
[weapon_polearm]||||||||
normal_polearm_spear|Spear|Keihäs|Lança|Копье|矛|スピア|창|Speer
normal_polearm_tribal_spear|Tribal Spear|||||||
normal_polearm_royal_lance|Royal Lance|Kuninkaallinen Peitsi|Lança Real|Царское копье|皇家长矛|王家のランス|로열 랜스|Königliche Lanze
normal_polearm_war_trident|War Trident|||||||
normal_polearm_battle_lance|Battle Lance|||||||
normal_polearm_hyperion_spear|Hyperion Spear|||||||
normal_polearm_yari|Yari|||||||
normal_polearm_fuscina|Fuscina|||||||
normal_polearm_war_spear|War Spear|||||||
||||||||
[weapon_spear_unique]||||||||
w_polearm_crusader_halberd|Crusader Halberd|Ristiretkeilijän Pertuska|Alabarda Cruzada|Алебарда Крестоносца|十字军戟|クルセーダー・ハルバード|십자군 할버드|Hellebarde des Kreuzritters
w_polearm_poseidons_might|Poseidon's Might|Poseidonin mahti|Poder de Poseidon|Мощь Посейдона|波塞冬的超能|ポセイドンの威厳|포세이돈의 힘|Poseidons Macht
w_polearm_odins_battle_spear|Odin's Battle Spear|Odinin Taistelukeihäs|Lança de Batalha de Odin|Боевое копье Одина|奥丁的战矛|オーディンのバトルスピア|오딘의 전투용 창|Odins Kampfspeer
w_polearm_vanguards_lance|Vanguard's Lance|Kuninkaan Peitsi|Lança do Rei|Королевское Копье|国王的长矛|王のランス|왕의 랜스|Königslanze
w_polearm_war_gods_lance|War God's Lance|Sotajumalan Peitsi|Lança do Deus da Guerra|Копье Бога Войны|战争之王的长矛|戦神のランス|전쟁의 신의 랜스|Lanze des Kriegsgottes
