[npc]|en|fi|pt|ru|zh|ja|ko|de
bounty_board_quest|Daily Quest|Päivän tehtävä||||||
kleiton_npc_title|Jewelcrafter|||||||
||||||||
thank_you|Thank you.|||||||
here_to_help|I'm here to help.|Olen täällä auttamassa.|Estou aqui para ajudar.|Я здесь, чтобы помочь.|我是来帮忙的。|私がお手伝いします。|제가 도와 드리겠습니다.|Ich bin hier um zu helfen.
goodbye|Goodbye!|Näkemiin!|Adeus!|До свидания!|再见！|さようなら！|잘 있어!|Auf Wiedersehen!
yes_please|Yes please!|Kyllä kiitos!|Sim por favor!|Да, пожалуйста!|好的！|はい、お願いします！|응, 부탁해!|Ja bitte!
no_thanks|No thanks.|Ei kiitos.|Não, obrigado.|Нет, спасибо.|不，谢了。|いいえ、結構です。|괜찮아.|Nein, danke.
dialog_next|Next|Seuraava|Próximo|следующий|下一个|次|다음|Nächster
reset_relics|Reset all relics.|Poista kaikki aarteet.|Resetar todas as relíquias.|Сбросить все реликвии.|重置所有遗物。|すべての遺物をリセットします。|모든 유물 초기화.|Alle Relikte zurücksetzen.
buy|Buy|Osta|Comprar|Купить|购买|購入する|구매|Kaufen
buy_items|Buy Items|Osta esineitä.|Comprar Itens|Купить предметы|购买商品|アイテムを購入|아이템 구매|Items kaufen
sell_items|Buy/Sell|Osta/Myy|Vender itens.|Продать предметы|卖掉物品。|アイテムを売ります。|아이템 팔기.|Artikel verkaufen.
reset_wormhole_level|Reset wormhole level.|Palauta madonreiän taso.|Resetar o nível do buraco de minhoca|Сбросить уровень Червоточины|重置虫洞等级。|ワームホールレベルをリセットします。|웜홀 레벨 초기화.|Wurmloch-Level zurücksetzen.
||||||||
kukkonen|My name is landlord Kukkonen. I am the mayor of Inoya. Hope you have a pleasant stay, noble hero!|Minä olen maanomistaja Kukkonen, Inoyan pormestari. Toivottavasti viihdyt kylässämme!|Meu nome é senhor de terra Kukkonen. Eu sou o prefeito desta cidade. Espero que você tenha uma estadia agradável nobre herói!|Меня зовут Кукконен. Я мэр этого города. Добро пожаловать, герой!|我是土地领主库博志。 我是这个小镇的镇长。 希望你能喜欢这里， 尊敬的英雄。|私はこの土地の領主クッコネンと申します。 この町の市長でもあります。 気持ちの良い滞在時間を過ごすよう、 心から願います！ 気高いヒーローよ！|나는 쿡코넨이라고 한다. 이 마을의 이장이지. 편안하게 지내시게!|Ich bin der Grundherr Kukkonen und Bürgermeister dieser Stadt. Hoffentlich haben Sie einen angenehmen Aufenthalt edler Held!
asgar|I am Asgar, the commander of Danethorpe. We are here to watch your back, hero!|Minä olen Asgar, Danethorpen komentaja. Pidämme sinusta hyvää huolta sankari!|Eu sou Asgar, o comandante de Danethorpe. Estamos aqui para te ajudar, heroi!|Я Асгар, командующий Данеторпом. Мы тебя поддержим в бою!|我是邓恩斯洛普的指挥官阿斯加。 我们是你的坚强后盾，英雄！|我が名はアスガル、デーンソープの指揮官。 英雄よ、 あなたの背中を護るためにここに来た！|나는 데인소프의 사령관인 아스가르다. 후방에서 그대를 지원하겠다!|Ich bin Asgar, der Befehlshaber von Danethorpe. Wir sind hier, um dir den Rücken freizuhalten, Held!
afsin|Welcome! I am Afsin, the eldest warrior of Mos'Arathim. We are in need of your strength!|Tervehdys! Minä olen Afsin, Mos'Arathimin vanhin soturi. Tarvitsemme kipeästi voimiasi!|Saudações! Eu sou Afsin, o guerreiro mais experiente de Mos'Arathim. Precisamos de sua força!|Приветствую, герой. Я Афсин, старейший воин Мос'Арасим. Мы нуждаемся в твоей силе.|致敬！ 我是阿弗斯恩，摩斯奥拉斯姆最年长的战士。 我们需要你的力量！|やあ！ 私はアフシン、 モスアラシム最年長の戦士。 あなたの力が必要だ！|안녕하십니까! 저는 모스아라팀의 가장 오래된 전사인 아프신입니다. 당신의 힘이 필요합니다!|Grüße! Ich bin Afsin, der älteste Krieger von Mos‘Arathim. Wir benötigen deine Stärke!
kodatin|Greetings stranger! Welcome to Dhorn Farum! You may call me Kodatin.|Tervehdys muukalainen! Tervetuloa Dhorn Farumiin! Voit kutsua minua Kodatiniksi.|Saudações estranho! Bem-vindo ao Dhorn Farum! Você pode me chamar de Kodatin.|Приветствую, странник! Добро пожаловать в Дорн Фарум. Я Кодатин, советник.|问候陌生人!欢迎来到Dhorn Farum!你可以叫我柯达。|こんにちは！ようこそ、ドーン･ファルムへ！ コダティンと呼んでください。|안녕하세요, 이방인! 돈 파룸에 오신 것을 환영합니다! 난 코데이틴이라고 불러요.|Willkommen, Fremder! Willkommen in Dhorn Farum! Du kannst mich Kodatin nennen.
nobunaga|Welcome to Shujo Retreat! Its time our clan takes back the control of Karponia!|Tervetuloa Shujo Retreat! Klaanimme on aika ottaa Karponia takaisin!|Bem-vindo ao Abrigo Shujo! É hora do nosso clã retomar o controle de Karponia!|Приветствую в Лагере Щуджё, великий герой. Настал тот день, когда мы вернём Карпонию.|欢迎来到 Shujo 撤退!现在是我们氏族夺回卡尔波尼亚控制权的时候了!|シュジョリトリートへようこそ！ 我々一族がカルポニアの支配権を取り戻す時だ！|슈호 리트리트에 오신 것을 환영합니다! 우리 씨족이 카포니아의 지배에서 벗어날 시간입니다!|Willkommen in Shujo Retreat! Es ist an der Zeit, dass unser Clan die Kontrolle über Karponia zurückerobert!
abaddon|Hello stranger. Welcome to Dawn's Chapel, may God's grace be upon you.|Tervehdys muukalainen. Tervetuloa Aamun kappeliin, jumala sinua siunatkoon.|Olá estranho. Bem-vindo à Capela de Dawn, que a graça de Deus esteja com você.|Приветствую в Храме Рассвета. Да благословит тебя Господь!|你好陌生人。 欢迎来到黎明的城堡， 愿上帝的恩典临到你。|こんにちは。 夜明けのシャペルへようこそ、 神の恵みがあなたにありますように。|안녕하세요, 이방인.새벽의 예배당에 오신 것을 환영합니다. 하나님의 축복이 함께하시길.|Hallo Fremder. Willkommen in Dawns Chappel, möge Gottes Gnade mit dir sein.
kujala|Would you like to buy a [Mystery Chest] for 900 gold?|Haluaisitko ostaa [Mysteeriarkun] 900 kullalla?||||||
sarcaster|Hello Hero! My name is Sarcaster and I am the towns coffee addict! Would you like to join my Coffee Club?|Hei sankari! Nimeni on Sarcaster ja minä olen kylän kahviaddikti! Haluaisitko liittyä kahvikerhooni?|Olá, herói! Meu nome é Sarcaster e eu sou o viciado do café das cidades! Gostaria de se juntar ao meu Café Clube?|Приветствую, герой! Я Саркастер, местный кофеман! Хочешь вступить в мой Кофейный Клуб?|你好， 英雄！ 我是瑟卡斯特， 这个镇上的咖啡爱好者！ 你想要加入我的咖啡俱乐部吗？|ヒーローよ、 こんにちは！ サーカスターと申します。 この町のコーヒーマニアです！ 私のコーヒークラブに参加しますか？|안녕! 난 사캐스터라고 하고, 우리 마을의 커피 중독자야! 우리 커피 클럽에 가입할래?|Hallo Held! Mein Name ist Sarcaster und ich bin der Kaffeesüchtige der Stadt! Möchten Sie meinem Coffee Club beitreten?
garnor|Damien's minions grow stronger every day. Use the combat dummies to maintain your speed and power!|Damienin kätyrit kasvavat voimakkaammiksi päivä päivältä. Käytä harjoitusnukkeja ylläpitääksesi voimaasi ja nopeuttasi!|Os minions de Damien ficam mais fortes a cada dia.Use os dummies de combate para manter sua velocidade e poder!|Слуги Дэмиена с каждый днем становятся сильнее. Тренируйся на этих манекенах, чтоб оставаться в форме.|达米安的奴仆每天都在变强， 用这些战斗训练人偶来增强你的速度和力量吧！|ダミアン の ミニオン達 は 毎日 強く なって います。 これら の 戦闘 ダミー を 使って あなた の スピード と パワー を 維持 しましょう！|데미언의 부하들이 하루가 다르게 강해지고 있어. 저기에 있는 모형으로 훈련해봐!|Damiens Gefolgsleute werden von Tag zu Tag stärker. Benutze die Kampfpuppen, um deine Schnelligkeit und Kraft zu messen!
join_coffee_club|Join Coffee Club.|Liity Kahvikerhoon.|Junte-se ao Clube do Café.|Вступить в Кофейный Клуб|加入咖啡俱乐部。|コーヒークラブに参加します。|커피 클럽에 가입하기.|Werden Sie Mitglied im Coffee Club.
jack_the_ripper|How can I help you today?|Miten voin auttaa sinua tänään?|Como posso te ajudar hoje?|Чем могу помочь?|请问我今天有什么可以帮您？|今日は何のご用ですか？|오늘은 내가 뭘 해줬으면 좋겠나?|Wie kann ich Ihnen heute helfen?
gar_nor_test_dps|Test damage per second.|Testaa vahinko per sekunti.|Teste de dano por segundo.|Проверить количество урона в секунду.|测试每秒造成的伤害。|1秒あたりのダメージをテストします。|초당 피해 테스트.|Testschaden pro Sekunde.
gar_nor_lock_exp|Lock / Unlock experience.|Lukitse / avaa kokemuspisteet.|Travar / Destravar a experiência.|Блокировать / Разблокировать получения опыта|锁定/解锁经验。|経験値をロック/ロック解除します。|경험치 잠금 / 해제.|Erfahrung sammeln sperren / entsperren.
um|I can show you the future in exchange of these prime evil artifacts... Would you like to see?|Voin näyttää sinulle tulevaisuuden pahuuden artifakteja vastaan... Haluaisitko nähdä?|Posso te mostrar o futuro em troca destes artefatos malignos de primeira... Gostaria de ver?|Грядущее раскрыть тебе могу я, в обмен на Артефакты Зла Древнего. Желаешь узнать свою судьбу?|以这些最邪恶的文物为交换， 我可以向你展示未来。。。 你想看看吗？|これらの最も上等である邪悪な器械と引き換えに、 私はあなたに未来を示すことができます。。。 あなたは見たいですか？|내게 순수한 악의 유물을 준다면, 자네의 미래를 보여주도록 하지... 미래를 보고 싶나?|Ich kann dir die Zukunft zeigen, im Tausch gegen diese teuflischen Artefakte... Möchtest du sie sehen?
dr_tinker_dink|Would you like to open a wormhole?|Haluaisitko avata madonreiän? Sinulla on|Gostaria de abrir um portal? Você deve.|Хочешь открыть Червоточину? У тебя есть|你想打开一个虫洞吗？ 你有|ワームホールを開きますか？あなたが持っている|웜홀을 열고 싶어? 네가 가진 'item'로 열 수 있어.|Möchtest du ein Wurmloch öffnen? Du hast.
wormhole_reset|Are you sure you want to reset your wormhole level?|Oletko varma että haluat palauttaa madonreikäsi tason?|Tem certeza que quer reiniciar seu nível portal?|Вы уверены, что хотите сбросить уровень Червоточины?|您确定要重置您的虫洞等级吗？|ワームホールのレベルをリセットしてもよろしいですか？|웜홀 레벨을 초기화하시겠습니까?|Bist du sicher, dass du dein Wurmloch-Level zurücksetzen willst?
relic_reset|Are you sure you want to reset your relics?|Oletko varma että haluat poistaa kaikki aarteet?|Tem certeza que quer reiniciar suas relíquias?|Вы уверены, что хотите сбросить все реликвии?|您确定要重置您的遗物吗？|本当にレリックをリセットしますか？|정말로 유물을 초기화하시겠습니까?|Sind Sie sicher, dass Sie Ihre Relikte zurücksetzen möchten?
requires_max_level_inferno|Access requires level 80+ & Hell difficulty|Vaatii tason 80+ & Helvetti vaikeusasteen|O acesso requer nível 80+ e dificuldade Inferno|Для доступа требуется уровень 80+ и адская сложность.|访问需要 80+ 级和地狱难度|アクセスにはレベル80以上と地獄の難易度が必要です|액세스하려면 레벨 80 이상 및 지옥 난이도가 필요합니다.|Der Zugang erfordert Level 80+ & Schwierigkeitsgrad Hölle
requires_max_level|Requires level 100|Vaatii tason 100|Requer nível 100|Требуется 100-й ур.|需要等级100|レベル100が必要|레벨 100이 필요합니다.|Benötigt Level 100
tinker_chappel|This place is not as holy as it seems...|Tämä paikka ei ole niin pyhä kuin luulisi...|Esse lugar não é tão sagrado quanto parece...|Это место не такое священное, каким оно кажется...|这个地方并不像看起来那么神圣...|この場所は見かけほど神聖ではありません･･･|여긴 보이는 것처럼 성스럽지 않아요...|Dieser Ort ist nicht so heilig wie er scheint...
tinker_normal|Heya! Come back later and I'll show you my latest invention...|Heya! Come back later and I'll show you my latest invention...|Heya! Come back later and I'll show you my latest invention...|Heya! Come back later and I'll show you my latest invention...|Heya! Come back later and I'll show you my latest invention...|Heya! Come back later and I'll show you my latest invention...|Heya! Come back later and I'll show you my latest invention...|Heya! Come back later and I'll show you my latest invention...
um_regular|Open your mind and see the universe...|Avaa mielesi ja näe universumi...|Abra sua mente e veja o universo...|Открой свой разум и узри вселенную...|敞开你的心扉，看看这个世界...|心を開いて、世界を感じてごらん･･･|마음을 열고 우주를 봐요...|Öffne deinen Geist und sieh das Universum...
yogvan|Would ye like to learn the noble art of mining?|Haluaisitko oppia louhimisen jalon taidon?|Gostaria de aprender a nobre arte da mineração?|Хочешь обучу тебя Шахтёрскому Мастерству?|你想学习高贵的采矿艺术吗?|採掘のこつを学ばないか？|고귀한 광업을 배워볼래요?|Würdest du mehr über die noble Kunst des Bergbaus lernen?
yogvan_meet|Oi! Get back t' me when you've gotten familiar with the town and I'll show ye how to mine like a dwarf!|Oi! Tule takaisin kun olet tutustunut kylään niin opetan sinut louhimaan kuin kääpiö!|Ei! Volte para mim quando se familiarizar com a cidade e eu te mostrarei como minerar como um anão!|Эй! Когда закончишь болтать с местыми, беги ко мне! Я те покажу как работают настоящие краснолюды.|Oi! 等你们熟悉了这个城镇再来找我， 我要让你们看看如何像个小矮人一样开采!|おい！ この町に慣れてきたら戻って来い。 ドワーフみたいな採掘方法を教えたろ！|마을에 익숙해지면 나한테 알려줘요. 내가 난쟁이처럼 채굴하는 법을 보여줄게요!|Oi! Komm zurück zu mir, wenn du dich mit der Stadt vertraut gemacht hast, und ich zeige dir, wie man wie ein Zwerg Bergbau betreibt!
yogvan_learn|Ye still got a lot ta learn! Get back when you've gotten yer hands dirty.|Sinulla on vielä paljon opittavaa! Tule takaisin kun olet saanut kätesi likaisiksi.|Tu ainda tem muito o que aprender! Volte quando estiver com as mãos sujas.|Да те еще херачить и херачить! Приходи, кода по локоть бушь в грязи.|你还有很多要学的!把你的手弄脏了再回来。|たくさん習得したな！手が汚れたら戻って来い。|아직 배울 게 많네요! 손이 더러워지면 돌아와요.|Du musst noch viel lernen! Komm zurück zu mir, wenn du deine Hände schmutzig gemacht hast.
yogvan_got_it|Ye've got it now... See if you can get dat lad Torstein ta help ye with yer ores!|Nyt sinä osaat... Koitappa jos saisit tuon Torstein-tyypin auttamaan sinua malmiesi kanssa!|Tu conseguiu agora... Veja se consegue o rapaz Torstein pra te ajudar com teus minérios!|Молодчина! Мож даже те удастся уговорить Торштейна помочь те с этим!|你现在明白了。。。 看看你能不能找到那个托斯泰因小伙子帮你拿矿石!|もう 教える こと はない。。。 あんた が 鉱石 を とる の を トルシュタイン が 手伝える か どう か 見てくれ！|이제 됐네요... 저 소년 토르스타인의 도움을 받아 광석을 얻을 수 있는지 확인해 봐요!|Du hast es... Sieh zu, ob du diesen Kerl Torstein dazu kriegen kannst, dir mit deinen Erzen zu helfen!
kleiton_learn|Come back to me once you have prospected the ores!|||||||
kleiton_got_it|Great! Now you know how to prospect and get materials that you can use to craft shiny things!|||||||
kleiton_quest|Hey! You look like you'd appreciate some quality jewels. How about I teach you how to make some?|||||||
||||||||
ruby_entrance|Would you like to enter Ruby Gardens?|Haluaisitko astua rubiinipuutarhaan?|Gostaria de entrar nos Jardins de Rubi?|Войти в Рубиновые Сады?|你想进入红宝石花园吗?|ルビーガーデンに入りますか？|루비 정원에 들어갈래요?|Würdest du gern die Rubingärten betreten?
open_ruby|Open Ruby Gardens|Avaa rubiinipuutarha|Abrir Jardins de Rubi|Открыть проход в Рубиновые Сады|打开红宝石花园|ルビーガーデンズを開ける|루비 정원 열기|Öffne Rubingärten
asheen|We need to use the Dimensional Shards to open this gate and kill the demon inside...|Meidän täytyy käyttää ulottuvuussirpaleita avataksemme tämän portin ja kukistaa siellä lymyilevä demoni...|Precisamos usar os Fragmentos Dimensionais para abrir esse portão e matar o demônio que está dentro...|Нам потребуется использовать Осколки Измерений, чтоб открыть портал и уничтожить зло внутри...|我们需要用维度碎片打开这扇门， 杀死里面的恶魔。。。|次元の破片を使ってこのゲートを開き、 中の悪魔を倒す必要が。。。|이 문을 열려면 차원의 파편을 사용해서 안의 악마를 죽여야 해요...|Wir müssen die Dimensionalen Splitter nutzen, um dieses Tor zu öffnen und den Dämon dahinter zu töten...
open_shadow|Open the Portal for (10) Shards|Avaa portaali (10) sirpaleella|Abra o Portal por (10) Fragmentos|Открыть портал за (10) Осколков|为(10)个碎片打开门户|破片 (10) でポータルを開く|(10)개의 파편을 위해 포털 열기|Öffne das Portal für (10) Splitter.
veras|Whaddaya buyin'?|Mitä olet ostamassa?|Que dia você está comprando?|Чо-нить купишь?|你在买什么？|何を買っていますか？|뭐 사니?|Was kaufst du?
traveling_merchant_dialog|Take a look at my wares!|Vilkaisehan tuotteitani!|Take a look at my wares!|Take a look at my wares!|Take a look at my wares!|Take a look at my wares!|Take a look at my wares!|Take a look at my wares!
kukkonen_grimbone|I've heard tales of your exploits in Valhalla. Legend says, there is a mighty beast in the deepest depths of Niflhel, with scythes as hands as large as a man. They would make a mighty fine trophy... I'll offer a round of my best moonshine for everyone in town if I could get my hands on those scythes!|||||||
kukkonen_grimbone_buff|Wow, would you look at those scythes! Here's your moonshine, as promised!|||||||
||||||||
chaos_tower_master_1|Welcome Adventurer, the tower awaits those who are bold enough to enter.|Tervetuloa Seikkailija, torni odottaa niitä jotka ovat tarpeeksi rohkeita astumaan sisään.|Bem-vindo Aventureiro, a torre aguarda aqueles que tiverem coragem de entrar.|Добро пожаловать, авантюрист, башня ждет тех, кто осмелится войти.|欢迎冒险家，塔楼等待着那些大胆进入的人们。|ようこそ冒険家、塔は入るのに十分大胆な人々を待っています。|모험가 님을 환영합니다. 탑은 들어갈만큼 대담한 사람들을 기다리고 있습니다.|Willkommen Abenteurer, der Turm erwartet diejenigen, die mutig genug sind, um einzutreten.
chaos_tower_master_2|The tower is a graveyard for some, but a treasure trove for others.|Torni on viimeinen leposija joillekkin, mutta aarreaitta toisille.|A torre é um cemitério para alguns, mas um tesouro para outros.|Для одних башня - кладбище, для других - сокровищница.|该塔是某些人的墓地，而另一些则是宝库。|塔は一部の人にとっては墓地ですが、他の人にとっては宝の山です。|탑은 일부에게는 묘지이지만 다른 사람들에게는 보물 창고입니다.|Der Turm ist für einige ein Friedhof, für andere eine Schatzkammer.
chaos_tower_master_3|I'll stay back and guard the entrance, you go ahead...|Minä jään tänne vartioimaan sisäänkäyntiä, mene sinä vain...|Vou ficar para trás e vigiar a entrada, vá em frente...|Я останусь охранять вход, а вы идите...|我会留下来守卫入口，你继续...|私は戻って入り口を守ります、あなたは先に進みます...|내가 뒤로 물러서서 입구를 지키 겠어.|Ich werde zurückbleiben und den Eingang bewachen, du machst weiter...
chaos_tower_open|Let me in!|Päästä minut sisään!|Me deixar entrar!|Впусти меня!|让我进去！|入れてくれ！|나를 들여 보내줘!|Lass mich rein!
chaos_towers_completed|Chaos Towers completed:|Kaaos Tornit suoritettu:|Torres do Caos concluídas:|Башни Хаоса завершены:|混沌塔竣工：|カオスタワーが完成しました：|카오스 타워 완료 :|Chaostürme fertiggestellt:
chaos_tower_reward|Claim reward.|Lunasta palkkio.|Reclamar recompensa.|Награда претензии.|索取奖励。|報酬を請求します。|보상을 요청하십시오.|Belohnung beanspruchen.
chaos_tower_prompt|Would you like to claim your reward and reset your progress?|Haluatko lunastaa palkkiosi ja nollata etenemisen?|Você gostaria de resgatar sua recompensa e reiniciar seu progresso?|Хотите получить награду и сбросить свой прогресс?|您想领取奖励并重设进度吗？|報酬を受け取り、進捗状況をリセットしますか？|보상을 요청하고 진행 상황을 재설정 하시겠습니까?|Möchten Sie Ihre Belohnung einfordern und Ihren Fortschritt zurücksetzen?
chaos_tower_no_reward|Here you g- Wait, you haven't actually cleared any towers. Get out of here!|Tässä ole hyv- Odotas, et ole suorittanut yhtäkään tornia. Häivy siitä!|Espere, você não limpou nenhuma torre. Saia daqui!|Подождите, вы на самом деле не очистили башни. Убирайся отсюда!|等等，您实际上还没有清理任何塔楼。离开这里！|待ってください、あなたは実際に塔をクリアしていません。ここから出ていけ！|잠깐, 당신은 실제로 어떤 탑도 치우지 않았습니다. 여기서 나가!|Warten Sie, Sie haben noch keine Türme geräumt. Raus hier!
chaos_tower_opened_1|Take the stairs to your left.|Mene ylös portaista vasemmalla.|Pegue as escadas à sua esquerda.|Поднимитесь по лестнице слева от вас.|左走楼梯。|左側の階段を進みます。|왼쪽 계단으로 가십시오.|Nehmen Sie die Treppe zu Ihrer Linken.
chaos_tower_opened_2|The way is open.|Tie on avoin.|O caminho está aberto.|Путь открыт.|方式是开放的。|道は開いています。|길이 열려 있습니다.|Der Weg ist offen.
chaos_tower_opened_3|Are you stupid?|Oletko idiootti?|Você é estúpido?|Совсем тупой?|你很笨吗|バカじゃないの？|너 바 보니?|Bist du dumm?
||||||||
ct_penguin_1|Oh, you found me! Wait, I can TALK!?|Löysit minut! Hetkinen, osaan PUHUA!?|Oh, você me encontrou! Espere, eu posso FALAR !?|О! Нашел меня! Погоди, я говорить могу !?|哦，你找到我了！等一下，我可以说！|ああ、あなたは私を見つけました！待って、話せる！？|오, 나를 찾았군요! 잠깐, 말할 수 있어요!?|Oh, du hast mich gefunden! Warten Sie, ich kann sprechen!?
ct_penguin_2|I must collect pebbles, I have no time for chit-chat!|Minun pitää kerätä pikkukiviä, ei ole aikaa juoruilla!|Preciso coletar pedrinhas, não tenho tempo para bate-papos!|Камешки я должен собирать, нету времени болтать.|我必须收集鹅卵石，我没有时间闲聊！|私は小石を集めなければなりません、私はおしゃべりする時間がありません！|나는 자갈을 모아야한다, 나는 잡담을 할 시간이 없다!|Ich muss Kiesel sammeln, ich habe keine Zeit zum Plaudern!
||||||||
ct_um_dying_1|This... Place... Is unholy... Cursed... Find Kuk... konen...|Tämä... Paikka... On epäpyhä... Kirottu... Etsi Kuk... konen...|Este... lugar... é profano... amaldiçoado... encontre Kukkonen...|Это... Место... Оскверненно... Проклято... Найди Кукконена...|这个...地方...是邪恶的...被诅咒...找到库科宁...|これ...場所...不潔...呪われている...クッコネンを探す...|이... 장소... 거룩하지 않다... 저주를 받음... 국 코넨 찾기...|Dieser... Ort... ist unheilig... verflucht... Finde Kukkonen...
ct_um_dying_2|This is not the future... I foresaw... Find Kukkonen...|Tämä ei ole tulevaisuus... Näin sen... Find Kukkonen...|Este não é o futuro... Eu previ... Encontre Kukkonen...|Это не то будущее... что я предвидел... Найди Кукконена...|这不是未来...我预见到...找到库科宁...|これは未来ではありません...私は予見しました...クッコネンを見つけてください...|이건 미래가 아니야... 내가 예견 했어... Kukkonen 찾기...|Dies ist nicht die Zukunft... Ich habe vorausgesehen... Finde Kukkonen...
ct_um_dying_3|Our timeline is finished... You must find the way back to Kukkonen...|Aikajanamme on loppu... Sinun täytyy löytää takaisin Kukkosen luo...|Nossa linha do tempo terminou... Você deve encontrar o caminho de volta para Kukkonen...|Наша временная линия подошла к концу... найди способ вернуться к Кукконену…|我们的时间表已经完成...您必须找到返回库克科宁的路...|タイムラインが終了しました...クッコネンに戻る方法を見つける必要があります...|타임 라인이 끝났습니다... 쿠 코넨으로 돌아가는 길을 찾아야합니다...|Unsere Zeitleiste ist fertig... Sie müssen den Weg zurück nach Kukkonen finden...
ct_kukkonen_1|Help me hero! I must return to town at once!|Auta minua Sankari! Minun täytyy palata kylään välittömästi!|Me ajude, herói! Devo voltar para a cidade imediatamente!|Герой, помоги мне! Я должен вернуться в город как можно скорее!|英雄帮我！我必须马上回城！|ヒーローを助けて！すぐに町に帰らなきゃ！|영웅을 도와주세요! 당장 마을로 돌아 가야 해요!|Hilf mir, Held! Ich muss sofort in die Stadt zurückkehren!
ct_kukkonen_2|Thank you for saving me hero... Be careful though, something evil lies ahead.|Kiitos kun pelastit minut Sankari... Ole silti varovainen, jotakin pahaa lymyää edessä.|Obrigado por me salvar, herói... Porém, tenha cuidado, algo mal está por vir.|Благодарю за спасение, герой … Будь осторожен, зло ожидает тебя впереди.|谢谢您救了我，英雄。。。但是要小心，前方有邪恶。|ヒーローを助けてくれてありがとう...でも気をつけて、何か悪が先にある。|저를 구 해주셔서 감사합니다.|Danke, dass du mich gerettet hast, Held... Sei aber vorsichtig, etwas Böses liegt vor dir.
||||||||
ct_god_1|Tarethiel could use some help. Don't look at me, I don't want to go down there.|Tarethiel voisi kaivata apua. Älä minua katso, en minä ole menossa tuonne alas.|Tarethiel precisa de ajuda. Não olhe para mim, eu não quero descer aí.|Таретиэль нуждается в твоей помощи. Не смотри на меня так… Я спускаться не буду.|Tarethiel可以使用一些帮助。别看着我，我不想下去。|Tarethielはいくつかの助けを使うことができます。私を見ないで、そこに行きたくない。|타 레디 엘은 도움을받을 수 있습니다. 날 쳐다 보지 말고 거기 내려 가고 싶지 않아요|Tarethiel könnte Hilfe gebrauchen. Schau mich nicht an, ich will da nicht runter.
